,LR0,LR1,LR2,LR3,LR4,NB0,NB1,NB2,NB3,NB4,Vad0,Vad1,Vad2,Vad3,Vad4
apparel,0.43167701863354035,0.40062111801242234,0.1230291447682752,0.034400382226469184,0.010272336359292882,0.4340659340659341,0.4228380315336837,0.110606784519828,0.027233635929288104,0.005255613951266125,0.29479216435738176,0.40611562350692787,0.2095078834209269,0.0740563784042045,0.015527950310559006
automotive,0.4222560975609756,0.36585365853658536,0.14329268292682926,0.043191056910569105,0.02540650406504065,0.4303861788617886,0.35721544715447157,0.13516260162601626,0.047764227642276426,0.029471544715447155,0.3282520325203252,0.4065040650406504,0.1915650406504065,0.05538617886178862,0.018292682926829267
baby_product,0.3922518159806295,0.38619854721549635,0.15375302663438256,0.048426150121065374,0.01937046004842615,0.387409200968523,0.38619854721549635,0.15617433414043583,0.05205811138014528,0.018159806295399514,0.3365617433414044,0.3583535108958838,0.1973365617433414,0.08837772397094432,0.01937046004842615
beauty,0.4104899497487437,0.37751256281407036,0.13819095477386933,0.05496231155778895,0.018844221105527637,0.41708542713567837,0.37248743718592964,0.13662060301507536,0.059673366834170856,0.014133165829145729,0.3228643216080402,0.3850502512562814,0.1925251256281407,0.07726130653266332,0.02229899497487437
book,0.4259634888438134,0.3407707910750507,0.15517241379310345,0.0537525354969574,0.02434077079107505,0.4462474645030426,0.31643002028397565,0.16531440162271804,0.055780933062880324,0.016227180527383367,0.3772819472616633,0.35699797160243407,0.19675456389452334,0.060851926977687626,0.008113590263691683
camera,0.39215686274509803,0.36363636363636365,0.1622103386809269,0.0659536541889483,0.016042780748663103,0.39215686274509803,0.3761140819964349,0.14260249554367202,0.0677361853832442,0.0213903743315508,0.34759358288770054,0.33868092691622104,0.23351158645276293,0.053475935828877004,0.026737967914438502
digital_ebook_purchase,0.41346153846153844,0.4343891402714932,0.10633484162895927,0.034502262443438916,0.011312217194570135,0.4592760180995475,0.43721719457013575,0.0752262443438914,0.02319004524886878,0.005090497737556561,0.3184389140271493,0.4309954751131222,0.17760180995475114,0.05656108597285068,0.016402714932126698
digital_video_download,0.356353591160221,0.38950276243093923,0.17955801104972377,0.049723756906077346,0.024861878453038673,0.3839779005524862,0.39779005524861877,0.143646408839779,0.0718232044198895,0.0027624309392265192,0.27624309392265195,0.3812154696132597,0.23204419889502761,0.09668508287292818,0.013812154696132596
drugstore,0.41212710765239946,0.3654345006485084,0.14559014267185474,0.05642023346303502,0.020428015564202335,0.42282749675745784,0.3430609597924773,0.14915693904020752,0.061608300907911806,0.023346303501945526,0.324254215304799,0.3832684824902724,0.19682230869001296,0.07587548638132295,0.019779507133592736
electronics,0.46134969325153374,0.3570552147239264,0.12576687116564417,0.03865030674846626,0.01717791411042945,0.4539877300613497,0.3539877300613497,0.13006134969325153,0.03742331288343558,0.024539877300613498,0.33496932515337424,0.36687116564417177,0.19325153374233128,0.0834355828220859,0.02147239263803681
furniture,0.39948453608247425,0.3943298969072165,0.13659793814432988,0.05798969072164949,0.011597938144329897,0.4175257731958763,0.4059278350515464,0.1172680412371134,0.04896907216494845,0.010309278350515464,0.32989690721649484,0.38402061855670105,0.20103092783505155,0.06572164948453608,0.019329896907216496
grocery,0.4369951534733441,0.36995153473344106,0.11954765751211632,0.05250403877221325,0.0210016155088853,0.4483037156704362,0.3473344103392569,0.13570274636510501,0.04281098546042003,0.025848142164781908,0.31906300484652667,0.3505654281098546,0.21163166397415187,0.09450726978998385,0.024232633279483037
home,0.4423608976329542,0.3719643406086689,0.1304949277589917,0.03796495542576084,0.017214878573624345,0.4455886873655088,0.3696587765139871,0.12588379956962803,0.04380571779895481,0.015063018751921304,0.3335382723639717,0.38979403627420844,0.1879803258530587,0.07193359975407317,0.01675376575468798
home_improvement,0.4020234291799787,0.3753993610223642,0.15069222577209798,0.05005324813631523,0.021831735889243878,0.4174653887113951,0.369542066027689,0.13684771033013846,0.04952076677316294,0.026624068157614485,0.32055378061767836,0.39829605963791265,0.1954206602768903,0.06762513312034078,0.01810436634717785
industrial_supplies,0.3471698113207547,0.39245283018867927,0.14339622641509434,0.09056603773584905,0.026415094339622643,0.35283018867924526,0.37924528301886795,0.15660377358490565,0.08113207547169811,0.03018867924528302,0.32264150943396225,0.39622641509433965,0.2,0.0660377358490566,0.01509433962264151
jewelry,0.43983402489626555,0.37344398340248963,0.1313969571230982,0.042876901798063624,0.012448132780082987,0.41217150760719223,0.40525587828492393,0.13278008298755187,0.03734439834024896,0.012448132780082987,0.34024896265560167,0.41217150760719223,0.18533886583679116,0.05394190871369295,0.008298755186721992
kitchen,0.450476889214967,0.3547322083639032,0.12839325018341893,0.04732208363903155,0.019075568598679385,0.4512105649303008,0.3459280997798973,0.1309611151870873,0.05062362435803375,0.02127659574468085,0.34556126192223036,0.3947175348495965,0.17278063096111518,0.06823184152604549,0.018708730741012473
lawn_and_garden,0.4267151767151767,0.34407484407484407,0.1496881496881497,0.058212058212058215,0.02130977130977131,0.4282744282744283,0.3523908523908524,0.14189189189189189,0.057172557172557176,0.02027027027027027,0.31652806652806653,0.3814968814968815,0.20218295218295218,0.08264033264033264,0.017151767151767153
luggage,0.4040114613180516,0.38968481375358166,0.15759312320916904,0.034383954154727794,0.014326647564469915,0.42120343839541546,0.38108882521489973,0.1489971346704871,0.04011461318051576,0.008595988538681949,0.3667621776504298,0.39255014326647564,0.15759312320916904,0.06876790830945559,0.014326647564469915
musical_instruments,0.40625,0.3715277777777778,0.13541666666666666,0.04861111111111111,0.03819444444444445,0.3715277777777778,0.3958333333333333,0.14583333333333334,0.0798611111111111,0.006944444444444444,0.375,0.3958333333333333,0.1388888888888889,0.06597222222222222,0.024305555555555556
office_product,0.4037396121883656,0.37119113573407203,0.15166204986149584,0.05609418282548476,0.01731301939058172,0.43213296398891965,0.3386426592797784,0.15373961218836565,0.0574792243767313,0.018005540166204988,0.3337950138504155,0.4051246537396122,0.18628808864265928,0.05955678670360111,0.015235457063711912
other,0.420873511060692,0.3581962563811685,0.14946114577424843,0.048496880317640385,0.02297220646625071,0.42030629608621667,0.36698808848553605,0.14095292115711855,0.04906409529211571,0.022688598979013045,0.32359614293817357,0.3876914350538854,0.19568916619398752,0.0737379466817924,0.019285309132161088
pc,0.4257602862254025,0.3643410852713178,0.1383422778771616,0.054859868813357186,0.016696481812760882,0.43768634466308887,0.345855694692904,0.1383422778771616,0.05366726296958855,0.024448419797257006,0.31723315444245676,0.3810375670840787,0.2045319022063208,0.07155635062611806,0.02564102564102564
personal_care_appliances,0.3,0.35,0.1,0.2,0.05,0.25,0.35,0.1,0.25,0.05,0.25,0.4,0.25,0.1,0.0
pet_products,0.39289558665231433,0.3638320775026911,0.1727664155005382,0.052206673842841764,0.01829924650161464,0.38805166846071043,0.3713670613562971,0.1668460710441335,0.05597416576964478,0.01776103336921421,0.3186221743810549,0.3832077502691066,0.20667384284176535,0.07050592034445641,0.02099031216361679
shoes,0.394273127753304,0.4199706314243759,0.13656387665198239,0.03450807635829662,0.014684287812041116,0.40969162995594716,0.42584434654919234,0.12701908957415564,0.033773861967694566,0.003671071953010279,0.29809104258443464,0.43392070484581496,0.18649045521292218,0.06607929515418502,0.015418502202643172
sports,0.41009174311926605,0.3912844036697248,0.13394495412844037,0.046788990825688076,0.017889908256880735,0.4188073394495413,0.38990825688073394,0.12660550458715597,0.0463302752293578,0.01834862385321101,0.3467889908256881,0.3967889908256881,0.18073394495412845,0.06467889908256881,0.011009174311926606
toy,0.4602346805736636,0.3754889178617992,0.11777488048674489,0.034767492394611035,0.011734028683181226,0.4624076488483268,0.3720121686223381,0.11603650586701435,0.034767492394611035,0.01477618426770969,0.34419817470664926,0.39026510212950893,0.1899174272055628,0.05867014341590613,0.01694915254237288
video_games,0.33014354066985646,0.3444976076555024,0.23444976076555024,0.05741626794258373,0.03349282296650718,0.35406698564593303,0.3492822966507177,0.16267942583732056,0.10047846889952153,0.03349282296650718,0.28708133971291866,0.3588516746411483,0.22488038277511962,0.10047846889952153,0.028708133971291867
watch,0.43147208121827413,0.350253807106599,0.17258883248730963,0.04060913705583756,0.005076142131979695,0.3248730964467005,0.4720812182741117,0.17766497461928935,0.025380710659898477,0.0,0.2639593908629442,0.43147208121827413,0.2131979695431472,0.07614213197969544,0.015228426395939087
